Date,Motor_ID,Bearing_Temp_C,Winding_Temp_C,Vibration_mm_s,Current_A,Voltage_V,Power_Factor,Running_Hours
2025-12-02,MTR-101,69.1,84.5,3.03,129.6,415,0.87,2995
2025-12-03,MTR-101,70.3,79.7,2.36,126.1,1000,0.89,3011
2025-12-04,MTR-101,66.4,86.3,2.42,126.1,415,0.88,3019
2025-12-05,MTR-101,66.9,81.1,2.94,133.7,415,0.87,3031
2025-12-06,MTR-101,67.7,83.3,2.99,121.5,690,0.84,3052
2025-12-07,MTR-101,70.9,85.8,2.85,124.1,415,0.92,3060
2025-12-08,MTR-101,71.0,82.4,2.48,130.6,1000,0.85,3069
2025-12-09,MTR-101,72.0,86.2,2.62,126.8,1000,0.88,3085
2025-12-10,MTR-101,69.7,80.8,2.8,127.9,415,0.93,3099
2025-12-11,MTR-101,67.9,85.3,2.93,131.3,415,0.9,3103
2025-12-12,MTR-101,67.9,83.0,2.18,134.6,1000,0.93,3117
2025-12-13,MTR-101,68.0,86.8,2.87,137.6,690,0.97,3135
2025-12-14,MTR-101,72.3,85.0,2.26,132.0,415,0.82,3143
2025-12-15,MTR-101,67.7,80.3,2.88,133.5,415,0.91,3161
2025-12-16,MTR-101,65.9,81.3,2.88,127.5,1000,0.89,3167
2025-12-17,MTR-101,74.1,83.9,2.19,128.5,415,0.9,3178
2025-12-18,MTR-101,68.7,83.2,2.58,132.4,415,0.91,3187
2025-12-19,MTR-101,68.2,82.2,2.43,124.6,1000,0.85,3207
2025-12-20,MTR-101,70.8,82.6,2.81,123.3,1000,0.84,3221
2025-12-21,MTR-101,66.5,80.0,2.75,137.6,690,0.95,3225
2025-12-22,MTR-101,69.9,79.3,2.26,131.2,690,0.95,3237
2025-12-23,MTR-101,66.3,79.1,2.67,124.4,690,0.87,3256
2025-12-24,MTR-101,65.0,84.7,2.49,129.1,690,0.95,3264
2025-12-25,MTR-101,64.6,84.9,2.45,132.6,415,0.89,3276
2025-12-26,MTR-101,68.7,81.6,3.26,131.8,415,0.98,3292
2025-12-27,MTR-101,70.7,81.7,2.48,120.3,1000,0.86,3304
2025-12-28,MTR-101,67.1,88.6,2.52,127.1,690,0.86,3312
2025-12-29,MTR-101,70.5,87.4,2.73,136.9,690,0.94,3321
2025-12-30,MTR-101,67.1,79.8,2.55,138.0,690,0.94,3335
2025-12-31,MTR-101,66.0,83.3,2.02,122.2,690,0.97,3346
2026-01-01,MTR-101,68.3,82.2,2.63,140.4,415,0.91,3358
2026-01-02,MTR-101,69.7,84.0,2.97,131.3,690,0.91,3367
2026-01-03,MTR-101,72.9,77.7,2.57,131.6,415,0.92,3389
2026-01-04,MTR-101,69.2,81.7,2.55,126.2,690,0.93,3392
2026-01-05,MTR-101,68.5,78.4,2.3,135.3,1000,0.96,3406
2026-01-06,MTR-101,69.5,83.4,1.95,135.6,1000,0.98,3418
2026-01-07,MTR-101,71.1,81.8,2.78,127.7,415,0.86,3433
2026-01-08,MTR-101,70.2,86.0,3.01,128.8,690,0.87,3441
2026-01-09,MTR-101,69.2,83.2,2.65,131.7,1000,0.83,3455
2026-01-10,MTR-101,66.6,80.0,2.96,132.6,1000,0.95,3469
2026-01-11,MTR-101,68.6,80.9,2.64,125.3,415,0.94,3485
2026-01-12,MTR-101,70.4,85.1,2.63,129.0,690,0.93,3496
2026-01-13,MTR-101,70.4,82.9,2.63,122.8,690,0.98,3499
2026-01-14,MTR-101,68.0,85.0,2.67,132.8,690,0.93,3513
2026-01-15,MTR-101,69.2,88.0,2.87,127.9,1000,0.89,3524
2026-01-16,MTR-101,67.2,83.4,3.0,132.5,415,0.86,3543
2026-01-17,MTR-101,65.7,81.1,2.51,131.0,690,0.95,3551
2026-01-18,MTR-101,68.3,84.4,2.47,129.8,1000,0.92,3559
2026-01-19,MTR-101,71.0,89.0,2.58,133.6,415,0.86,3574
2026-01-20,MTR-101,64.3,82.0,2.39,129.4,415,0.86,3593
2026-01-21,MTR-101,69.3,89.2,2.9,125.8,415,0.84,3597
2026-01-22,MTR-101,70.1,88.0,2.83,128.0,690,0.91,3611
2026-01-23,MTR-101,68.4,82.7,2.7,123.2,1000,0.88,3629
2026-01-24,MTR-101,69.1,84.4,1.88,124.2,415,0.82,3637
2026-01-25,MTR-101,69.1,84.5,3.07,130.2,415,0.94,3645
2026-01-26,MTR-101,68.0,78.8,2.21,131.4,415,0.94,3656
2026-01-27,MTR-101,66.9,82.7,2.69,138.9,690,0.95,3668
2026-01-28,MTR-101,68.9,87.1,2.92,129.5,415,0.91,3685
2026-01-29,MTR-101,69.9,87.7,2.33,132.1,690,0.92,3692
2026-01-30,MTR-101,70.7,78.3,2.26,118.5,1000,0.94,3711
2026-01-31,MTR-101,71.6,83.8,3.1,121.8,1000,0.93,3718
2026-02-01,MTR-101,71.0,83.2,2.65,126.3,690,0.87,3737
2026-02-02,MTR-101,65.0,86.3,1.96,138.8,1000,0.88,3746
2026-02-03,MTR-101,69.7,80.9,2.92,127.5,1000,0.93,3752
2026-02-04,MTR-101,65.9,85.1,2.47,133.9,690,0.85,3767
2026-02-05,MTR-101,72.0,90.7,2.85,127.2,415,0.9,3785
2026-02-06,MTR-101,67.2,84.2,2.58,127.6,415,0.83,3789
2026-02-07,MTR-101,67.5,81.9,2.53,117.2,690,0.94,3806
2026-02-08,MTR-101,68.1,84.0,2.88,131.0,1000,0.91,3812
2026-02-09,MTR-101,71.6,76.2,2.37,124.2,415,0.85,3829
2026-02-10,MTR-101,66.5,81.6,2.38,126.9,415,0.87,3843
2026-02-11,MTR-101,70.7,85.6,2.35,128.7,1000,0.94,3854
2026-02-12,MTR-101,71.6,89.6,2.16,123.0,690,0.92,3869
2026-02-13,MTR-101,65.8,85.3,2.42,126.2,1000,0.83,3878
2026-02-14,MTR-101,63.6,85.6,2.73,128.3,1000,0.95,3883
2026-02-15,MTR-101,72.2,83.4,2.79,132.8,1000,0.91,3897
2026-02-16,MTR-101,67.7,85.1,2.81,124.6,1000,0.93,3912
2026-02-17,MTR-101,66.3,84.4,3.45,120.6,415,0.88,3926
2026-02-18,MTR-101,67.4,85.9,2.95,132.5,1000,0.9,3936
2026-02-19,MTR-101,65.1,80.5,2.67,129.1,1000,0.83,3950
2026-02-20,MTR-101,69.8,85.1,2.85,131.9,1000,0.85,3959
2026-02-21,MTR-101,69.9,79.7,2.53,131.7,690,0.88,3974
2026-02-22,MTR-101,72.1,82.4,2.69,132.7,415,0.94,3979
2026-02-23,MTR-101,69.2,82.9,2.87,117.6,1000,0.91,3996
2026-02-24,MTR-101,68.9,85.3,2.35,126.7,1000,0.96,4003
2026-02-25,MTR-101,70.5,83.8,2.47,130.7,415,0.93,4025
2026-02-26,MTR-101,71.6,84.8,2.51,132.8,690,0.91,4030
2026-02-27,MTR-101,73.1,80.8,3.57,129.6,415,0.86,4040
2026-02-28,MTR-101,68.6,83.2,3.13,131.3,1000,0.88,4061
2026-03-01,MTR-101,68.4,84.6,2.49,121.4,690,0.97,4072
2026-03-02,MTR-101,69.0,91.5,2.56,128.9,1000,0.97,4078
2026-03-03,MTR-101,67.4,87.5,2.43,126.2,690,0.95,4087
2026-03-04,MTR-101,68.7,86.9,2.11,136.3,415,0.94,4108
2026-03-05,MTR-101,66.6,78.6,2.86,129.0,690,0.89,4121
2026-03-06,MTR-101,67.9,88.6,2.54,121.2,1000,0.86,4131
2026-03-07,MTR-101,63.2,83.4,2.55,132.2,1000,0.86,4144
2026-03-08,MTR-101,68.1,80.3,3.39,129.0,415,0.88,4149
2026-03-09,MTR-101,69.0,83.2,2.44,125.9,415,0.88,4166
2026-03-10,MTR-101,65.3,85.7,2.69,137.8,690,0.89,4172
2026-03-11,MTR-101,71.8,83.5,2.53,125.1,1000,0.97,4192
2026-03-12,MTR-101,70.3,79.6,2.51,128.3,690,0.96,4202
2026-03-13,MTR-101,70.0,80.2,2.46,131.1,415,0.91,4214
2026-03-14,MTR-101,68.1,82.5,2.83,130.9,1000,0.97,4222
2026-03-15,MTR-101,66.4,85.4,2.79,127.1,1000,0.92,4231
2026-03-16,MTR-101,69.2,79.8,2.89,127.8,1000,0.92,4253
2026-03-17,MTR-101,67.2,79.4,2.15,131.7,415,0.88,4263
2026-03-18,MTR-101,65.1,82.0,2.91,128.5,415,0.9,4267
2026-03-19,MTR-101,69.2,78.5,2.21,132.4,690,0.92,4282
2026-03-20,MTR-101,70.8,87.0,2.65,135.2,690,0.91,4296
2026-03-21,MTR-101,68.3,81.6,3.16,128.6,415,0.82,4307
2026-03-22,MTR-101,66.8,80.9,2.34,132.9,415,0.93,4321
2026-03-23,MTR-101,71.0,84.4,3.04,126.2,690,0.83,4332
2026-03-24,MTR-101,67.9,84.2,2.19,131.6,415,0.95,4349
2026-03-25,MTR-101,71.3,80.9,2.79,119.9,690,0.88,4358
2026-03-26,MTR-101,68.8,84.1,2.8,121.1,1000,0.96,4373
2026-03-27,MTR-101,65.2,86.6,2.51,129.9,415,0.88,4375
2026-03-28,MTR-101,72.5,83.5,2.15,126.7,1000,0.83,4389
2026-03-29,MTR-101,69.8,78.9,2.4,127.4,1000,0.97,4399
2026-03-30,MTR-101,68.4,85.5,2.67,122.0,1000,0.94,4415
2026-03-31,MTR-101,70.2,86.4,2.63,128.7,690,0.9,4433
2026-04-01,MTR-101,70.2,84.0,2.75,127.6,690,0.89,4436
2026-04-02,MTR-101,71.3,75.5,3.02,135.2,1000,0.91,4448
2026-04-03,MTR-101,68.8,86.6,1.99,122.3,1000,0.87,4459
2026-04-04,MTR-101,72.7,85.0,2.66,137.2,415,0.92,4472
2026-04-05,MTR-101,70.0,83.7,2.98,125.3,415,0.83,4491
2026-04-06,MTR-101,65.4,85.3,2.37,127.7,1000,0.89,4499
2026-04-07,MTR-101,64.9,82.7,2.75,132.4,415,0.83,4507
2026-04-08,MTR-101,68.1,80.9,2.42,132.7,690,0.98,4526
2026-04-09,MTR-101,73.2,81.6,2.97,136.8,415,0.84,4541
2026-04-10,MTR-101,67.6,81.8,2.78,125.6,690,0.95,4548
2026-04-11,MTR-101,67.8,80.1,2.86,133.9,1000,0.95,4560
2026-04-12,MTR-101,71.4,85.6,2.58,134.3,1000,0.86,4575
2026-04-13,MTR-101,68.5,83.0,2.65,129.8,690,0.89,4584
2026-04-14,MTR-101,70.4,80.7,2.36,128.6,415,0.96,4591
2026-04-15,MTR-101,70.4,83.7,3.18,132.8,1000,0.96,4603
2026-04-16,MTR-101,69.1,84.5,2.9,130.8,1000,0.85,4625
2026-04-17,MTR-101,69.2,81.7,2.67,127.9,415,0.96,4629
2026-04-18,MTR-101,67.5,85.5,3.09,130.4,1000,0.85,4649
2026-04-19,MTR-101,68.6,83.9,2.84,121.9,415,0.94,4656
2026-04-20,MTR-101,71.0,82.9,2.26,126.7,415,0.84,4666
2026-04-21,MTR-101,69.6,81.7,2.84,133.6,690,0.88,4684
2026-04-22,MTR-101,72.6,81.4,2.1,135.6,415,0.82,4692
2026-04-23,MTR-101,70.9,82.2,2.58,122.6,415,0.84,4707
2026-04-24,MTR-101,69.5,82.1,2.31,132.2,690,0.94,4714
2026-04-25,MTR-101,66.0,86.2,2.81,128.2,415,0.92,4728
2026-04-26,MTR-101,67.9,88.2,2.28,122.8,690,0.86,4737
2026-04-27,MTR-101,68.7,82.9,2.9,127.0,1000,0.97,4755
2026-04-28,MTR-101,69.3,85.0,2.79,130.9,1000,0.92,4763
2026-04-29,MTR-101,68.3,79.6,2.19,131.7,415,0.85,4779
2026-04-30,MTR-101,69.5,80.6,2.88,120.1,1000,0.98,4783
2026-05-01,MTR-101,67.7,76.3,2.14,132.5,415,0.94,4800
2026-05-02,MTR-101,69.1,85.0,2.43,130.9,415,0.91,4812
2026-05-03,MTR-101,71.6,86.2,2.55,128.8,415,0.9,4819
2026-05-04,MTR-101,67.7,86.8,2.81,123.8,1000,0.85,4837
2026-05-05,MTR-101,69.3,84.0,3.13,135.6,1000,0.91,4844
2026-05-06,MTR-101,71.1,85.3,2.52,140.7,1000,0.96,4858
2026-05-07,MTR-101,71.3,85.0,2.44,128.6,690,0.89,4868
2026-05-08,MTR-101,66.5,82.0,2.8,134.3,1000,0.85,4884
2026-05-09,MTR-101,66.7,85.9,2.28,131.5,1000,0.86,4896
2026-05-10,MTR-101,70.8,83.3,2.9,133.0,415,0.88,4906
2026-05-11,MTR-101,74.8,84.6,3.39,130.7,690,0.94,4918
2026-05-12,MTR-101,65.3,81.9,2.86,129.6,1000,0.92,4934
2026-05-13,MTR-101,67.6,85.5,2.47,135.6,690,0.85,4940
2026-05-14,MTR-101,69.2,82.7,2.12,128.4,415,0.89,4958
